,lognorm,lognorm,invgauss,invgauss,expon,expon,norm,norm
,bic,p_value,bic,p_value,bic,p_value,bic,p_value
full-ipsi,-1605837.630019964,0.0,6.35105631322646e+23,0.0,-1384835.619218376,0.0,-1087972.6746579406,0.0
full-contra,-1778436.0021390936,0.0,6.331760925031871e+24,0.0,-1566446.1462094965,0.0,-1275830.6447793043,0.0
cortex-ipsi,-27128.588305759225,0.043648617106911924,-25863.69480314979,0.0,-25656.297205283612,0.0,-21580.030033838084,0.0
cortex-contra,-33734.502734393966,0.021328791701111127,-32691.62349148578,0.0,-31742.65695545984,0.0,-27305.990198110092,0.0
