,mean,mean,mean,mean,mean,mean,mean,var,var,var,var,var,var,var,weight,weight,weight,weight,weight,weight,weight
n_components,0,1,2,3,4,5,6,0,1,2,3,4,5,6,0,1,2,3,4,5,6
full-ipsi,-5.041267061937137,-7.72287796501422,-25.612058034929568,-12.159644619721188,-3.8104626551491907,-6.268848588691284,,0.21517907235339784,0.8229630454518346,56.87494754742609,7.690308296209916,0.26421596113028367,0.2650859994167347,,0.33011833284274156,0.07809451091654053,0.0020063694363015856,0.010961981406084608,0.282193011956307,0.29662579344202017,
full-contra,-4.3662581296624365,-6.795824072356188,-5.592093775417677,-12.768648084083488,-35.035983420091945,-8.34696113582087,-22.361086128212193,0.2770141763201304,0.2669496167588803,0.20598100941991432,5.612729651677585,31.69459824506149,0.825510847553923,15.61790727223613,0.26908427937987023,0.2812247645183292,0.3603201229146834,0.012021248259436183,0.0007019992908238399,0.0735929979921038,0.0030545876447501887
cortex-ipsi,-5.2538459997748035,-4.223415048872239,-3.2283294121168384,,,,,0.2718569349066975,0.13892626781353679,0.16093657487878782,,,,,0.21658847512718368,0.43530366084774275,0.34810786402507393,,,,
cortex-contra,-4.217970067555111,-5.565536902689083,,,,,,0.30509254348749504,0.36574038950409976,,,,,,0.5001573903973386,0.4998426096026616,,,,,
