,VISl1,VISl2/3,VISl4,VISl5,VISl6a,VISl1,VISl2/3,VISl4,VISl5,VISl6a
VISp2/3,0.048573141483716026,0.13548709477144436,0.13751469928318963,0.1247141328374377,0.077952143849531,0.0025004937821182186,0.004523254292050109,0.0027922596546273524,0.0038515479132328074,0.0014984668490972996
VISp4,0.06594042778528758,0.13477104407713547,0.1479212587443086,0.13783786563841127,0.12252569093803545,0.01185619634280074,0.01265484692510232,0.013156430067596413,0.008994325214076861,0.013342717333885137
VISp5,0.06465125254531665,0.09690278180904563,0.09796610731705215,0.09893725656274038,0.10542384139959031,0.01036919073977206,0.009022309581974666,0.01038761925786163,0.007265191054904738,0.013510348064938877
VISp6a,0.032224933626422474,0.017426979301955546,0.026893279181680788,0.03849096557756558,0.08494838360005304,0.0006459908894682734,0.0008897499423805579,0.0012317210932059571,0.004653860111092753,0.018256916767513016
