,,full,full,full,full,ptp,ptp
,,test_voxel,train_voxel,test_regional,train_regional,test_regional,train_regional
Isocortex,homogeneous-standard,,,0.3708585120210151,0.19766273186105673,0.329942622504076,0.16913688501114885
Isocortex,homogeneous-high_res,,,0.31192486037899897,0.17239323899677275,0.28169323857638645,0.15246507579805993
OLF,homogeneous-standard,,,0.49844847662618685,0.08756073907810018,0.43881001909221234,0.09444806201782384
OLF,homogeneous-high_res,,,0.32459017604650836,0.04276381367131863,0.30143891216031526,0.04341436701581566
HPF,homogeneous-standard,,,0.458629987297811,0.5130807248137628,0.47942644898617354,0.5130387787648909
HPF,homogeneous-high_res,,,0.37952480246203546,0.41125399327063983,0.34804451422303984,0.4114190058083905
CTXsp,homogeneous-standard,,,1.1120499762775666,0.01948253445070619,0.9851999728886477,0.02144598253516835
CTXsp,homogeneous-high_res,,,0.6219589818905655,0.018864241722354597,0.4250959793035035,0.019738886544729533
STR,homogeneous-standard,,,0.5261765907642565,0.23144496810943785,0.5340510801370706,0.2395939280053101
STR,homogeneous-high_res,,,0.38531324535707256,0.1212287670075137,0.40169151702895683,0.12654247128846868
PAL,homogeneous-standard,,,0.8485194421753693,0.02792032459133666,0.7380635666405657,0.017199482151079245
PAL,homogeneous-high_res,,,0.5736776121884171,0.017120840990434875,0.42373784646073503,0.018065503159251862
TH,homogeneous-standard,,,0.9205905988562363,0.11504383131668602,0.8648929398917493,0.11846121383859622
TH,homogeneous-high_res,,,0.3274849103399488,0.05534547764287898,0.3019676766580232,0.05413059691067707
HY,homogeneous-standard,,,0.6214347386821185,0.05041651948975548,0.772965175667788,0.06809998408249188
HY,homogeneous-high_res,,,0.4028571931590913,0.03046819850177788,0.4949227590385223,0.03203297268054646
MB,homogeneous-standard,,,0.4384260183729017,0.13510405596144892,0.3922973329398022,0.14141387633252006
MB,homogeneous-high_res,,,0.39603289494041705,0.11761467276431914,0.33287941840609064,0.12518920060893501
P,homogeneous-standard,,,0.8902692431424282,0.27285222941506726,0.8736357148548297,0.2736910918974559
P,homogeneous-high_res,,,0.5842394578047615,0.11430676643226417,0.5635417060568184,0.11592664577055616
MY,homogeneous-standard,,,0.5842019992897897,0.029403342996706473,0.5422690485328979,0.02275279180921676
MY,homogeneous-high_res,,,0.4782051552950617,0.09747986851580707,0.524946420619381,0.10501366445204215
CB,homogeneous-standard,,,0.8951089626981992,0.04222523315167607,0.6326388439834002,0.04632050754347188
CB,homogeneous-high_res,,,0.5973932650784566,0.02379159745777923,0.2913590570009976,0.026834593931798326
