,,full,full,full,full,ptp,ptp
,,test_voxel,train_voxel,test_regional,train_regional,test_regional,train_regional
Isocortex,voxel-standard,0.6618826783559293,0.22119478791620806,0.3367963402821195,0.11398199180314023,0.3188880213648122,0.09359625823684593
OLF,voxel-standard,0.8163719526298691,0.16570834205441484,0.4102806347009278,0.06355091432772528,0.4040007536046538,0.05560062054202523
HPF,voxel-standard,0.9199900160049812,0.20367372466501085,0.5600955018408291,0.17039089815631592,0.5238341899364545,0.16887892517912936
CTXsp,voxel-standard,1.1449357369828201,0.3971641116072444,0.9489191676919342,0.4662236126665756,0.9263763384934867,0.2542441793417972
STR,voxel-standard,1.0337860433251334,0.07526597142646968,0.45448181363771234,0.017980936485953555,0.4042671383741783,0.010536986200780883
PAL,voxel-standard,1.0001045335561467,0.053112317418686564,0.6366383169260115,0.027024871280229085,0.44826199731230626,0.07346414805562462
TH,voxel-standard,1.150917200037977,0.14128185712154168,0.7660105771855675,0.0980602560678338,0.6974835481034466,0.12185266508690851
HY,voxel-standard,0.6931743794229572,0.45959228686965287,0.4838213384647094,0.3194384200988977,0.3688585886372357,0.08754317958246308
MB,voxel-standard,0.8881611429631137,0.32212282744778997,0.41535976495008897,0.13767633874026997,0.37062702360824923,0.12819571356544143
P,voxel-standard,0.983963245853021,0.09253263626787261,0.6552452631725239,0.06330187439334249,0.6101225470629751,0.06284389159426015
MY,voxel-standard,0.9643022563645434,0.33452745575944554,0.5107640010848874,0.17665922758053157,0.4895880304836776,0.20894656390491084
CB,voxel-standard,1.7672399020485272,0.09012309866067944,0.7845395723875533,0.015156452983463053,0.7460062303333843,0.0690093588816283
