,,full,full,full,full,ptp,ptp
,,test_voxel,train_voxel,test_regional,train_regional,test_regional,train_regional
Isocortex,voxel-injection,0.6462982988915573,0.16068092563387773,0.3337582236941439,0.08730866819287508,0.31395978683220827,0.07675657133631685
OLF,voxel-injection,0.928735012720636,0.27577889438091424,0.5080515068579156,0.14314019783877777,0.5039547857248774,0.1463280660679866
HPF,voxel-injection,0.9170233155188612,0.210799659158608,0.5607932918354187,0.17445044089695502,0.5262915888906252,0.18749400500585864
CTXsp,voxel-injection,1.148686352596893,0.2729544320430262,0.9297546542474397,0.2559274082288681,0.7895985281850807,0.26371723118506485
STR,voxel-injection,1.028892069416792,0.07068977093787396,0.4669308798068805,0.02556431376706216,0.407123059526806,0.019951723094739967
PAL,voxel-injection,1.1812284145134564,0.33246542729163614,0.8128726129836986,0.30425801001474984,0.5435309537241293,0.20312395242749864
TH,voxel-injection,1.1319531791878759,0.10486773541408474,0.7564351656640964,0.08136932801211652,0.7136291385073348,0.09911343691420127
HY,voxel-injection,0.6439226558019066,0.17547251715187284,0.477121822659439,0.1649264419709186,0.4132934644177572,0.14579640082586284
MB,voxel-injection,0.8765160050723335,0.09792166335907758,0.4399607121477922,0.04585032633347889,0.3947929122402969,0.04580408480677262
P,voxel-injection,1.0192221316695225,0.30164495295648563,0.6801873661749087,0.23790638613492326,0.6331368490266105,0.2334427074013803
MY,voxel-injection,0.9649458172081918,0.26965326131739936,0.527467814651398,0.150478354797952,0.49692045650103445,0.20702563439687893
CB,voxel-injection,1.737127182588732,0.025056588762392584,0.8260317723362098,0.01877944526204602,0.6791283550583204,0.00916842614286651
