,,full,full,full,full,ptp,ptp
,,test_voxel,train_voxel,test_regional,train_regional,test_regional,train_regional
Isocortex,voxel-log,0.020362983975215472,0.011893345517114205,0.008011040394922684,0.004187220047812431,0.007788461809703889,0.0037995927020828134
OLF,voxel-log,0.016144243614644158,0.0085211736664492,0.005747897795925558,0.003059689181985975,0.006863430334286156,0.003763226327473698
HPF,voxel-log,0.016708834005183845,0.005317741260516868,0.005140618408873052,0.0015038046400356567,0.00603625367210659,0.002025718884326675
CTXsp,voxel-log,0.03512892752236671,0.021713996131303356,0.03348817265818289,0.019051396951724052,0.027570457645459272,0.012694495032461879
STR,voxel-log,0.01433517099008922,0.008399696530304953,0.0040254002380602566,0.0023568968552650205,0.00431980688028943,0.00250243008944794
PAL,voxel-log,0.024146756355815792,0.0058116405392257915,0.010075087449882914,0.0020926506555636066,0.0062747342874725645,0.002129643628483221
TH,voxel-log,0.01969720230218033,0.010330942355656653,0.007950939918383705,0.0041847509510090095,0.008263677683559309,0.004364737989676868
HY,voxel-log,0.018501536621573784,0.012692553767116073,0.004648519769262435,0.002982932515814039,0.004468120365202576,0.002519016084603922
MB,voxel-log,0.017059336766305284,0.010130427719142616,0.004224634715484529,0.002413436466462929,0.0042431006842622125,0.0024058018941113994
P,voxel-log,0.025604286059378898,0.013532721096098134,0.005675823868906516,0.0029135821095471353,0.0037044536833855516,0.0017655909469766649
MY,voxel-log,0.016265046062823304,0.01046667258810955,0.002260451377656296,0.0014711380704757165,0.0020519170690872657,0.0013459606569534827
CB,voxel-log,0.009824561514732702,0.007760493022918845,0.0017119439676061086,0.001349881854747217,0.0014205504251015538,0.0010595627804671438
