,,full,full,full,full,ptp,ptp
,,test_voxel,train_voxel,test_regional,train_regional,test_regional,train_regional
Isocortex,voxel-standard,0.6618826783559293,0.22119478791620806,0.3367963402821195,0.11398199180314023,0.3188880213648122,0.09359625823684593
Isocortex,homogeneous-standard,,,0.3708585120210151,0.19766273186105673,0.329942622504076,0.16913688501114885
OLF,voxel-standard,0.8163719526298691,0.16570834205441484,0.4102806347009278,0.06355091432772528,0.4040007536046538,0.05560062054202523
OLF,homogeneous-standard,,,0.49844847662618685,0.08756073907810018,0.43881001909221234,0.09444806201782384
HPF,voxel-standard,0.9199900160049812,0.20367372466501085,0.5600955018408291,0.17039089815631592,0.5238341899364545,0.16887892517912936
HPF,homogeneous-standard,,,0.458629987297811,0.5130807248137628,0.47942644898617354,0.5130387787648909
CTXsp,voxel-standard,1.1449357369828201,0.3971641116072444,0.9489191676919342,0.4662236126665756,0.9263763384934867,0.2542441793417972
CTXsp,homogeneous-standard,,,1.1120499762775666,0.01948253445070619,0.9851999728886477,0.02144598253516835
STR,voxel-standard,1.0337860433251334,0.07526597142646968,0.45448181363771234,0.017980936485953555,0.4042671383741783,0.010536986200780883
STR,homogeneous-standard,,,0.5261765907642565,0.23144496810943785,0.5340510801370706,0.2395939280053101
PAL,voxel-standard,1.0001045335561467,0.053112317418686564,0.6366383169260115,0.027024871280229085,0.44826199731230626,0.07346414805562462
PAL,homogeneous-standard,,,0.8485194421753693,0.02792032459133666,0.7380635666405657,0.017199482151079245
TH,voxel-standard,1.150917200037977,0.14128185712154168,0.7660105771855675,0.0980602560678338,0.6974835481034466,0.12185266508690851
TH,homogeneous-standard,,,0.9205905988562363,0.11504383131668602,0.8648929398917493,0.11846121383859622
HY,voxel-standard,0.6931743794229572,0.45959228686965287,0.4838213384647094,0.3194384200988977,0.3688585886372357,0.08754317958246308
HY,homogeneous-standard,,,0.6214347386821185,0.05041651948975548,0.772965175667788,0.06809998408249188
MB,voxel-standard,0.8881611429631137,0.32212282744778997,0.41535976495008897,0.13767633874026997,0.37062702360824923,0.12819571356544143
MB,homogeneous-standard,,,0.4384260183729017,0.13510405596144892,0.3922973329398022,0.14141387633252006
P,voxel-standard,0.983963245853021,0.09253263626787261,0.6552452631725239,0.06330187439334249,0.6101225470629751,0.06284389159426015
P,homogeneous-standard,,,0.8902692431424282,0.27285222941506726,0.8736357148548297,0.2736910918974559
MY,voxel-standard,0.9643022563645434,0.33452745575944554,0.5107640010848874,0.17665922758053157,0.4895880304836776,0.20894656390491084
MY,homogeneous-standard,,,0.5842019992897897,0.029403342996706473,0.5422690485328979,0.02275279180921676
CB,voxel-standard,1.7672399020485272,0.09012309866067944,0.7845395723875533,0.015156452983463053,0.7460062303333843,0.0690093588816283
CB,homogeneous-standard,,,0.8951089626981992,0.04222523315167607,0.6326388439834002,0.04632050754347188
