,VISal1,VISal2/3,VISal4,VISal5,VISal6a,VISal6b,VISam1,VISam2/3,VISam4,VISam5,VISam6a,VISam6b,VISl1,VISl2/3,VISl4,VISl5,VISl6a,VISl6b,VISp1,VISp2/3,VISp4,VISp5,VISp6a,VISp6b,VISpm1,VISpm2/3,VISpm4,VISpm5,VISpm6a,VISpm6b,VISrl1,VISrl2/3,VISrl4,VISrl5,VISrl6a,VISrl6b
VISal1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VISal2/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VISal4,0.08015635928937367,0.1272086744595851,0.18067556406770433,0.16483318912131445,0.05437445387776409,0.012469058789845024,0.06658928628478732,0.04876520431467465,0.010450710791961424,0.028125548535691842,0.009735216935431319,0.0014521572489424475,0.07739460454987628,0.08409061748534441,0.06574574778122562,0.09847547220332283,0.028910865242193853,0.00427353274842192,0.14655781829995768,0.0921319652614849,0.0399972558952868,0.08695586823991366,0.07343610455947262,0.013284404495997089,0.06639728974550962,0.0414302249971245,0.008640715120626348,0.022405389130913785,0.010324489341915719,0.0014766433866628046,0.08059176243841648,0.08321546829704728,0.062363366929015944,0.0780625988596252,0.044276531253542216,0.003302615102646606
VISal5,0.026510731452920783,0.0930268201821794,0.05939549265895039,0.11822207520405452,0.06400077999569476,0.02055690047563985,0.05164441931992769,0.06008306902367622,0.01616639083173747,0.05269002293546995,0.03515546136380484,0.009559135680319741,0.04850614501629025,0.10828075146613021,0.06005837151315063,0.11556479070956509,0.08476986309203009,0.015293472630825514,0.14235366772239408,0.21875727036967874,0.09728691990797718,0.169477931689471,0.2771358887354533,0.05142148727706323,0.05023322169048091,0.06561728465991716,0.017332877517522622,0.05058375528703133,0.045821289299055934,0.009684955109454071,0.043223855240891375,0.07619895103077094,0.03632845194078982,0.07239424631310006,0.07196399848908186,0.008003922256951531
VISal6a,0.01838960498571396,0.03477982059121132,0.05220239982008934,0.4499253034591675,0.22559534013271332,0.09202147275209427,0.0027359144296497107,0.00041892717126756907,9.584640065440908e-05,0.0012294717598706484,0.0005867236177437007,0.0001960767258424312,0.006746315862983465,0.004260610323399305,0.0020701056346297264,0.0596558153629303,0.050373222678899765,0.0030970072839409113,0.015369590371847153,0.0017552442150190473,0.0014542648568749428,0.0054444302804768085,0.003865277860313654,0.0013552878517657518,0.005427225027233362,0.0007571342284791172,0.0003820359706878662,0.0019626575522124767,0.0010236287489533424,6.835321255493909e-05,0.005617812741547823,0.0012007529148831964,0.0017871400341391563,0.005708039738237858,0.004366307053714991,0.00046801220742054284
VISal6b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VISam1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VISam2/3,0.014884324170498535,0.0315004935431661,0.01076234525276555,0.02408013084545882,0.011427335252966544,0.003881293878128583,0.152307151995524,0.2479874666291054,0.06931241255516958,0.26075478846376593,0.10331415783877325,0.009048228180318169,0.019130363834626747,0.03728818313943015,0.008890351478123304,0.022993418416290573,0.019499501100543774,0.004076314351587284,0.06763481544424789,0.06421464245126705,0.007590185173533179,0.047134498077811615,0.09180915272898144,0.02503746221161852,0.09686940381623278,0.11753594047493404,0.025733607868203008,0.09152092212679411,0.03677380747265286,0.008105394929045379,0.016616868419629154,0.015298340789446927,0.005286791281906342,0.015402066041574333,0.015325047019304651,0.002664091152543522
VISam4,0.03195123001933098,0.04703580588102341,0.02408549189567566,0.039112869650125504,0.02250617928802967,0.006351578515022993,0.07689475268125534,0.13217876851558685,0.044024862349033356,0.15926486253738403,0.06608181446790695,0.00889481883496046,0.04569846764206886,0.06450716406106949,0.02847737818956375,0.04708658903837204,0.0391039215028286,0.005565978121012449,0.14155501127243042,0.07487247884273529,0.016637729480862617,0.0847918763756752,0.14368808269500732,0.020075595006346703,0.03471975401043892,0.027459805831313133,0.005972570739686489,0.03663942217826843,0.03231537714600563,0.007110391277819872,0.03322472423315048,0.03371434286236763,0.01828848570585251,0.039952006191015244,0.033458489924669266,0.002457793802022934
VISam5,0.0395841848072225,0.040407587963659154,0.014273659911303393,0.024635870685487723,0.016193969801595782,0.004501514721958511,0.0669712825159056,0.1214847444696764,0.05748176363717138,0.3188028311834926,0.10018267614387832,0.01677286118862376,0.031230666188407787,0.030704725368887978,0.008475526293690226,0.014557666854059275,0.01797514759927197,0.002627367891404217,0.10674146088087454,0.06756941459875192,0.01614390608681514,0.05369144658335542,0.07432251496125111,0.01423414347413103,0.04505548936075869,0.057764394587911334,0.01597099663871052,0.07878499412167389,0.03838529207010185,0.005501968575954701,0.03111701829573222,0.025196257302850748,0.010249875032598466,0.020162489924546893,0.018327961832416795,0.002066382724148905
VISam6a,0.00021391381770150648,5.553691262898538e-05,2.3192468847449323e-05,0.0006594344833126617,0.0003289978134460629,1.2865028804212453e-05,0.021592219434087238,0.03869479569414305,0.03805247392682802,0.38958571496463956,0.1794329063286857,0.04588282983454447,0.00017310384964008653,3.5142687487504665e-05,1.5021234012526712e-05,8.523786712589393e-05,0.0003449411278346642,2.626538884619044e-05,0.0008333044446309999,0.00012376170216446062,0.0005457410949193651,0.0028970236594360026,0.0017655954699933765,0.0005575737524186335,0.0010545891377010516,0.0006177680528101822,0.0018055686331723655,0.0473306378320096,0.01639538864412951,0.0026182574478702415,0.00031077083974470577,6.199251196997625e-05,0.0004605390353217011,0.0012500837652219667,0.0006318121126645969,7.754057093286916e-05
VISam6b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VISl1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
