,VISal1,VISal2/3,VISal4,VISal5,VISal6a,VISal6b,VISam1,VISam2/3,VISam4,VISam5,VISam6a,VISam6b,VISl1,VISl2/3,VISl4,VISl5,VISl6a,VISl6b,VISp1,VISp2/3,VISp4,VISp5,VISp6a,VISp6b,VISpm1,VISpm2/3,VISpm4,VISpm5,VISpm6a,VISpm6b,VISrl1,VISrl2/3,VISrl4,VISrl5,VISrl6a,VISrl6b
VISl2/3,0.02169099822640419,0.0478227399289608,0.02765568532049656,0.054570771753787994,0.029302868992090225,0.008472315967082977,0.024303175508975983,0.034589704126119614,0.007026916369795799,0.028292907401919365,0.012694320641458035,0.0020890289451926947,0.04973114654421806,0.11486730724573135,0.0681304857134819,0.12277135252952576,0.07718044519424438,0.014311473816633224,0.22488828003406525,0.36692914366722107,0.16448725759983063,0.33608055114746094,0.27588513493537903,0.039390791207551956,0.043407291173934937,0.05159301683306694,0.01181477215141058,0.04823487624526024,0.02247915230691433,0.003239516168832779,0.021708928048610687,0.03437783941626549,0.01719353161752224,0.03549816831946373,0.017879826948046684,0.0017512767808511853
VISl4,0.028009920902959593,0.06683058046050123,0.03315422266394227,0.052478551700875,0.020514145206946593,0.005584961427682704,0.036105967607799466,0.04759911713855607,0.008911584370902606,0.029469948221038985,0.013203321894692196,0.0029845454801733676,0.0849270434988724,0.21260412872492612,0.12583305162715389,0.22304817264551643,0.09696360603793637,0.013722646490230665,0.21603695769886394,0.40082450423921856,0.16961062183746925,0.3043686282503736,0.19566753031788292,0.031305026508622116,0.046828454913018826,0.054587204254918045,0.01015521170428166,0.03293617364469465,0.016598115030389566,0.0032947973020702273,0.032639795811949195,0.0727688756945369,0.02995877182827546,0.05048956423179134,0.02322971212913047,0.0028377729084260845
VISl5,0.022922772799193122,0.039856786391249406,0.03053278477149613,0.05252083554220052,0.026946686415208712,0.006163319285361119,0.019573576024009123,0.024534693194760218,0.004269000916040422,0.01405228442730911,0.01012260590415494,0.00214147872009809,0.09098319166604384,0.1902040942215625,0.11901982744902741,0.28053058205563347,0.1156562437981735,0.01306188943002511,0.1429536176132567,0.24214900919684657,0.13454431125227315,0.3358279416958491,0.25729465631791104,0.027859231031695266,0.03122955383617937,0.03510677545434899,0.0070079088722712094,0.023916877323278674,0.01628591759521284,0.0026663793207801602,0.014095283004190818,0.017749515074638674,0.008720969421973016,0.019461251944763426,0.01754770163492656,0.0015416895197474477
VISl6a,0.004286145471839928,0.0014844741911956055,0.001032282782640929,0.002589296428578011,0.002709592392385079,0.0010024679764219578,0.0019985588676040516,0.0014543131658095209,0.0006511469249494885,0.0016283713356482193,0.001610937297764216,8.54655794254915e-05,0.0363653573189296,0.06435895492048825,0.13515601277935738,0.22964856948922663,0.18366609060881184,0.03925189624230067,0.10942029784999642,0.09863255866894535,0.1498800749872245,0.26207318726707907,0.16010052959124246,0.02276327526744674,0.000982081513582528,0.001537008894671339,0.0004550311999742453,0.0014940318959655568,0.0025131880470058497,0.0003991484922795173,0.0007948992030886823,0.00024713960124691034,0.00016595022330590176,0.0002720322381184601,0.001255208899166581,3.821682505932746e-05
VISl6b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VISp1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VISp2/3,0.0025302979375657554,0.022572443149042408,0.013309544927973163,0.02057473888903177,0.006260217972306537,0.0015209356770085538,0.003991700555760934,0.013151381513458281,0.0029660591077312415,0.014460106485046085,0.0034656482358713246,0.0005010848285605424,0.005743914454339148,0.04867524488730313,0.034292825877969224,0.05344472805774661,0.01977876739805367,0.002894343768142171,0.31672578293929843,0.6686721200749234,0.25894613549246187,0.4667561231744065,0.21072025219028367,0.021452883516906274,0.022838062680593154,0.054378878600282524,0.0161200770141411,0.04836901146420107,0.011078946109181797,0.0011603397391677665,0.00437877037330753,0.01385285673299352,0.007259045124014265,0.024246314249294038,0.017142614696084406,0.001871111911578864
VISp4,0.004678788364376172,0.01598880749638423,0.01075302098905391,0.01479353657416483,0.009567744326362811,0.0023648530934098186,0.006563949531479047,0.011175837154767596,0.002314859949568711,0.00978022798305691,0.006278223684057593,0.0014027040690358838,0.016946567720410848,0.048939860800262726,0.030349190782128586,0.049288184166249666,0.02889869157040473,0.0046004824303459415,0.27430821438827135,0.6048290964400415,0.3122942627656578,0.46488316702370597,0.25098593055021645,0.03097573520228414,0.017510801948385665,0.028974411739866333,0.006144244587141098,0.023480538848676895,0.014087998395841015,0.0020415181536135255,0.006186752558897923,0.024807365209159285,0.011350889859887043,0.021081011805056345,0.013118700708935756,0.001292719045713876
VISp5,0.005332451551652257,0.010277899791388401,0.006221519482673976,0.008732651328610539,0.0057818045657712265,0.0016092850270341115,0.006942649322243499,0.01025188403146624,0.0024496051563658683,0.009377354727866449,0.007368608482318492,0.0017711235249802892,0.0157922649526236,0.03647737953438397,0.022575512053181625,0.03910207568852178,0.0283681643734133,0.005240962044862614,0.25155790786050586,0.4336455739785589,0.22933659940038673,0.5065163456305747,0.29725009903962935,0.03734047499731911,0.01983004678304099,0.03162811979756794,0.007761932279828429,0.026669414275850154,0.017056016355590144,0.0025495609054868623,0.006782084869988177,0.013108044624529722,0.006759130995083782,0.011756365780615676,0.008370361549439804,0.0013537205133457239
VISp6a,0.012665882495176117,0.0029539056030740397,0.0015779830382836892,0.0014263806760630288,0.0017603360016634933,0.0007862988017911043,0.0101591077770982,0.00146030769380392,0.0004260559914965437,0.0027474212388931825,0.004503615500278115,0.0022164368514740692,0.014377640493995465,0.005415905111779769,0.003302264794243381,0.007675451752363464,0.011187482039245326,0.0023659977047967512,0.22579699592867147,0.18253231252288996,0.19969799414221268,0.5037995649410991,0.3897335562255052,0.06427272727315346,0.022229586819479806,0.005250695996049247,0.0023064167558260033,0.009133136005416402,0.010009478848281034,0.0020099989302484285,0.024320637091317595,0.004937386169440151,0.003964819389588133,0.005709125350246011,0.006343349640228008,0.00243219970875901
VISp6b,0.00421527586877346,0.00011339780030539259,0.0,0.0,0.00010046601528301835,1.6491010683239438e-05,0.0013831238029524684,0.0,0.0,0.00011184604954905808,0.00047944035031832755,0.00021467487385962158,0.10885419696569443,0.01644839160144329,0.003390632336959243,0.006273532286286354,0.006628354080021381,0.00266475323587656,0.7198908925056458,0.27603405714035034,0.12831389904022217,0.3193584978580475,0.4907282590866089,0.09867331385612488,0.005131647456437349,9.21052269404754e-05,0.0,0.00022348760103341192,0.0012896163389086723,0.00029863324016332626,0.0013065632665529847,2.8760949135175906e-05,0.0,2.3358135877060704e-05,3.458660648902878e-05,0.0
VISpm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VISpm2/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VISpm4,0.011283418215397332,0.004822075423888034,0.0029686479829251766,0.00625851782452729,0.000968369260792517,9.598477805007456e-05,0.09857289459970263,0.24079642792542774,0.17821436557504866,0.2840745124551985,0.05169250816106796,0.009738522871500916,0.03294044041799175,0.015285240651832687,0.011849839695625836,0.019574937803877725,0.004649534542113543,0.00010673312790459022,0.07237675744626257,0.0219254522687859,0.005941759629382028,0.026089279270834393,0.01936469549934069,0.0031280154621021617,0.08210592865943908,0.26565483543607926,0.19304125209649403,0.582069906923506,0.1390093551741706,0.014746940280828211,0.005802021832722756,0.0009613628343989451,0.0013599140698918038,0.0030013283455951347,0.0011708698248387211,0.00030646009674657965
VISpm5,0.0124557000088195,0.023792628919084867,0.00915466945618391,0.019345084726810454,0.0127554427459836,0.0038593472105761368,0.050014354238907495,0.07393441786368687,0.023766765383382637,0.10781453400850297,0.049257002199689544,0.007971740877255797,0.018437524164716404,0.023228175478676956,0.009195325033118328,0.02207787159830332,0.02860881860057513,0.005287131952742736,0.14285471906264624,0.12838598390420278,0.042852817326784136,0.16822698762019475,0.1893083812793096,0.028847902541359265,0.08273737440506618,0.15574053625265757,0.057513105968634286,0.28214996874332426,0.12898078938325247,0.02160042212655147,0.008860616727421682,0.010216326400016745,0.004722985013698538,0.00869538999783496,0.009706833303595582,0.0017896461005633077
VISpm6a,0.0003089617656204044,0.00034018293120646596,0.000171735357710261,0.00029369819369733433,0.00047563467642002915,0.00021509456269701036,0.0085643454505181,0.006144824035062983,0.008982215819225923,0.06195087786260489,0.04389994395141666,0.00885496919068533,0.0007329368004197808,0.0009019362057458509,0.0003577582396541697,0.0007553087788117999,0.001202830528790081,0.0003224452686137394,0.021780505197475087,0.00649658522593814,0.0026299461841935642,0.017632111151878897,0.01586284762802156,0.004618696220269477,0.015614271440820114,0.018696221774695692,0.017627059658234183,0.1740788030060562,0.10274599250909444,0.022938667469330737,0.000802767273460238,0.00021210436790243948,8.139415522974387e-05,0.00021419824711424676,0.0004467592665900451,0.00010648027956768921
VISpm6b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VISrl1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VISrl2/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VISrl4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VISrl5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VISrl6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VISrl6b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
